run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,0,40,20,30,60,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-1,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,1,30,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-2,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,2,30,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-3,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,3,40,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-4,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,4,40,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-5,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,5,20,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-6,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,6,20,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-7,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,7,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-8,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,8,40,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-9,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,9,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-0,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,0,20,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-1-1,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,1,40,5,20,60,0.08231869419642854,0.1267880852678573,
baseline-very_low-1-2,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,2,20,5,10,80,0.08231869419642854,0.10243363125000005,
baseline-very_low-1-3,sweep1_p0,s01_health,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,3,30,10,20,80,0.08231869419642854,0.12270111428571424,
