run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,0,20,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-0-1,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,1,60,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-2,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,2,40,20,30,60,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-3,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,3,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-4,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,4,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-5,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,5,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-6,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,6,20,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-7,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,7,30,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-8,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,8,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-9,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,9,60,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-0,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,0,20,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-1-1,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,1,40,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-2,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,2,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-1-3,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,3,60,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-1-4,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,4,30,20,10,80,0.08231869419642854,0.11882619999999998,
baseline-very_low-1-5,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,5,40,0,20,60,0.08231869419642854,0.1258505142857144,
baseline-very_low-1-6,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,6,60,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-1-7,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,7,40,5,20,60,0.08231869419642854,0.1267880852678573,
baseline-very_low-1-8,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,8,20,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-1-9,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,9,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-2-0,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,0,40,20,10,60,0.08231869419642854,0.12460711428571428,
baseline-very_low-2-1,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,1,40,0,20,60,0.08231869419642854,0.1258505142857144,
baseline-very_low-2-2,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,2,40,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-2-3,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,3,20,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-2-4,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,4,40,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-2-5,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,5,40,20,10,80,0.08231869419642854,0.11882619999999998,
baseline-very_low-2-6,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,6,30,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-2-7,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,7,40,90,20,60,0.08231869419642854,0.0019472857142856946,
baseline-very_low-2-8,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,8,20,0,10,80,0.08231869419642854,0.09167357142857147,
baseline-very_low-2-9,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,9,40,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-low-0-0,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,0,40,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-0-1,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,1,40,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-0-2,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,2,40,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-0-3,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,3,40,20,10,60,0.10815333794642855,0.12460711428571428,
baseline-low-0-4,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,4,40,20,30,60,0.10815333794642855,0.12077348571428567,
baseline-low-0-5,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,5,40,20,10,60,0.10815333794642855,0.12460711428571428,
baseline-low-0-6,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,6,70,20,30,80,0.10815333794642855,0.12077348571428567,
baseline-low-0-7,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,7,40,20,30,80,0.10815333794642855,0.12077348571428567,
baseline-low-0-8,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,8,40,20,30,60,0.10815333794642855,0.12077348571428567,
baseline-low-0-9,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,0,9,40,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-1-0,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,1,0,30,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-1-1,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,1,1,20,30,20,60,0.10815333794642855,0.11419940000000016,
baseline-low-1-2,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,1,2,30,20,10,60,0.10815333794642855,0.12460711428571428,
baseline-low-1-3,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,1,3,40,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-1-4,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,1,4,40,20,10,80,0.10815333794642855,0.11882619999999998,
baseline-low-1-5,sweep1_p0,s02_grant,meta-llama/llama-3.3-70b-instruct,baseline,low,1,5,60,20,10,40,0.10815333794642855,0.14939625714285726,
