run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,0,30,5,20,80,0.08231869419642854,0.12284652723214301,
baseline-very_low-0-1,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,1,55,10,15,70,0.08231869419642854,0.12434178616071433,
baseline-very_low-0-2,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,2,60,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-0-3,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,3,50,10,15,70,0.08231869419642854,0.12434178616071433,
baseline-very_low-0-4,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,4,70,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-5,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,5,35,1,15,60,0.08231869419642854,0.12817277196865728,
baseline-very_low-0-6,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,6,60,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-0-7,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,7,40,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-8,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,8,40,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-9,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,0,9,70,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-1-0,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,0,40,5,20,70,0.08231869419642854,0.12436883973214302,
baseline-very_low-1-1,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,1,40,5,20,75,0.08231869419642854,0.12315921696428589,
baseline-very_low-1-2,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,2,40,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-1-3,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,3,60,5,20,70,0.08231869419642854,0.12436883973214302,
baseline-very_low-1-4,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,4,35,5,15,60,0.08231869419642854,0.1279007674107144,
baseline-very_low-1-5,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,5,40,5,15,70,0.08231869419642854,0.12443596785714298,
baseline-very_low-1-6,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,6,40,5,15,70,0.08231869419642854,0.12443596785714298,
baseline-very_low-1-7,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,7,45,0,20,75,0.08231869419642854,0.12373165714285722,
baseline-very_low-1-8,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,8,20,5,20,80,0.08231869419642854,0.12284652723214301,
baseline-very_low-1-9,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,1,9,60,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-2-0,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,0,5,0,10,50,0.08231869419642854,0.10692237142857143,
baseline-very_low-2-1,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,1,75,0,15,25,0.08231869419642854,0.17103496651785716,
baseline-very_low-2-2,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,2,40,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-2-3,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,3,30,10,15,5,0.08231869419642854,0.2277486522321428,
baseline-very_low-2-4,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,4,60,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-2-5,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,5,60,0,10,75,0.08231869419642854,0.0924272428571429,
baseline-very_low-2-6,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,6,40,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-2-7,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,7,60,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-2-8,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,8,60,10,15,40,0.08231869419642854,0.1434997687499999,
baseline-very_low-2-9,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,very_low,2,9,40,10,30,60,0.08231869419642854,0.12270111428571394,
baseline-low-0-0,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,0,60,20,20,75,0.10815333794642855,0.12077348571428562,
baseline-low-0-1,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,1,50,20,15,70,0.10815333794642855,0.12077348571428562,
baseline-low-0-2,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,2,55,25,10,75,0.10815333794642855,0.11796404999999993,
baseline-low-0-3,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,3,40,25,15,60,0.10815333794642855,0.1211095727678569,
baseline-low-0-4,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,4,40,25,15,80,0.10815333794642855,0.11823800223214273,
baseline-low-0-5,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,5,60,20,15,70,0.10815333794642855,0.12077348571428562,
baseline-low-0-6,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,6,40,30,20,70,0.10815333794642855,0.11419940000000016,
baseline-low-0-7,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,7,55,20,20,75,0.10815333794642855,0.12077348571428562,
baseline-low-0-8,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,8,60,30,20,50,0.10815333794642855,0.1161079714285716,
baseline-low-0-9,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,0,9,65,25,20,50,0.10815333794642855,0.12348253437500013,
baseline-low-1-0,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,0,35,20,15,75,0.10815333794642855,0.12077348571428562,
baseline-low-1-1,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,1,60,20,20,70,0.10815333794642855,0.12077348571428562,
baseline-low-1-2,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,2,40,30,20,70,0.10815333794642855,0.11419940000000016,
baseline-low-1-3,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,3,40,25,15,65,0.10815333794642855,0.11823800223214273,
baseline-low-1-4,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,4,60,30,15,70,0.10815333794642855,0.11419940000000006,
baseline-low-1-5,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,5,45,15,15,70,0.10815333794642855,0.1230844250000001,
baseline-low-1-6,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,6,55,25,15,70,0.10815333794642855,0.11823800223214273,
baseline-low-1-7,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,7,40,20,15,75,0.10815333794642855,0.12077348571428562,
baseline-low-1-8,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,8,45,15,10,60,0.10815333794642855,0.12330731696428575,
baseline-low-1-9,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,1,9,40,20,20,70,0.10815333794642855,0.12077348571428562,
baseline-low-2-0,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,2,0,65,30,20,70,0.10815333794642855,0.11419940000000016,
baseline-low-2-1,sweep1_p0,s03_board,google/gemini-2.5-flash,baseline,low,2,1,60,20,25,70,0.10815333794642855,0.1207734857142855,
